competition_id,competition_name,season_id,season_name,player_id,player_name,team_id,team_name,games_played,total_drives,direct_drives_count,blowby_count,dribble_through_count,end_type_kickout_count,end_type_turnover_count,end_type_pullout_count,end_type_pullup_count,end_type_interior_pass_count,end_type_stoppage_count,end_type_shot_near_basket_count,zone_mid_range_count,zone_corner_3_count,zone_above_break_3_count,direction_left_count,direction_right_count,category_iso_count,category_off_ball_screen_count,category_pick_count,category_handoff_count,category_closeout_count,category_miscellaneous_count,points,made_baskets,assists,potential_assists,fouls,successful_drives,unsuccessful_drives,field_points_in_drive,fga_in_drive,ft_attempts_in_drive,ft_mades_in_drive,blowby_rate,dribble_through_rate,end_type_kickout_rate,end_type_turnover_rate,end_type_pullout_rate,end_type_pullup_rate,end_type_interior_pass_rate,end_type_stoppage_rate,end_type_shot_near_basket_rate,zone_mid_range_rate,zone_corner_3_rate,zone_above_break_3_rate,direction_left_rate,direction_right_rate,category_iso_rate,category_off_ball_screen_rate,category_pick_rate,category_handoff_rate,category_closeout_rate,category_miscellaneous_rate,points_per_drive,made_baskets_rate,assists_rate,potential_assists_rate,fouls_rate,successful_drives_rate,unsuccessful_drives_rate,points_per_shot_in_drive,possessions_played
8,Liga ACB,51,2025-2026,446,Kameron Taylor,1325,Valencia BC,6,42,35,7,0,11,4,0,4,6,2,15,5,4,29,17,25,5,0,19,1,10,7,38,12,5,1,2,20,12,24,18,1,1,0.16666666666666666,0.0,0.2619047619047619,0.09523809523809523,0.0,0.09523809523809523,0.14285714285714285,0.047619047619047616,0.35714285714285715,0.11904761904761904,0.09523809523809523,0.6904761904761905,0.40476190476190477,0.5952380952380952,0.11904761904761904,0.0,0.4523809523809524,0.023809523809523808,0.23809523809523808,0.16666666666666666,0.9047619047619048,0.2857142857142857,0.11904761904761904,0.023809523809523808,0.047619047619047616,0.47619047619047616,0.2857142857142857,1.3557483731019522,272
8,Liga ACB,51,2025-2026,7196,Alvaro Cardenas,1325,Valencia BC,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,14
8,Liga ACB,51,2025-2026,7699,Cameron Hildreth,1315,Basquet Girona,10,60,54,12,0,14,5,1,4,3,2,31,2,1,39,31,29,14,2,30,5,8,1,42,16,4,1,12,34,19,32,28,21,17,0.2,0.0,0.23333333333333334,0.08333333333333333,0.016666666666666666,0.06666666666666667,0.05,0.03333333333333333,0.5166666666666667,0.03333333333333333,0.016666666666666666,0.65,0.5166666666666667,0.48333333333333334,0.23333333333333334,0.03333333333333333,0.5,0.08333333333333333,0.13333333333333333,0.016666666666666666,0.7,0.26666666666666666,0.06666666666666667,0.016666666666666666,0.2,0.5666666666666667,0.31666666666666665,1.3157894736842104,238
8,Liga ACB,51,2025-2026,8673,Zach Hicks,1334,CB UCAM Murcia,14,2,1,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,2,1,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.1363636363636365,235
8,Liga ACB,51,2025-2026,11247,Kameron Milton Allante Taylor,1325,Valencia BC,16,97,67,11,0,31,3,1,6,17,7,32,17,6,71,51,46,22,4,26,6,25,14,63,18,11,4,9,47,25,36,36,8,8,0.1134020618556701,0.0,0.31958762886597936,0.030927835051546393,0.010309278350515464,0.061855670103092786,0.17525773195876287,0.07216494845360824,0.32989690721649484,0.17525773195876287,0.061855670103092786,0.7319587628865979,0.5257731958762887,0.4742268041237113,0.2268041237113402,0.041237113402061855,0.26804123711340205,0.061855670103092786,0.25773195876288657,0.14432989690721648,0.6494845360824743,0.18556701030927836,0.1134020618556701,0.041237113402061855,0.09278350515463918,0.4845360824742268,0.25773195876288657,1.1133603238866396,637
8,Liga ACB,51,2025-2026,11845,Justin McKoy,1332,BC MoraBanc Andorra,29,40,30,1,0,12,0,0,13,3,2,10,7,4,29,21,19,1,3,2,0,27,7,12,3,2,0,5,11,18,6,20,7,7,0.025,0.0,0.3,0.0,0.0,0.325,0.075,0.05,0.25,0.175,0.1,0.725,0.525,0.475,0.025,0.075,0.05,0.0,0.675,0.175,0.3,0.075,0.05,0.0,0.125,0.275,0.45,0.5632582322357019,978
8,Liga ACB,51,2025-2026,12036,Jesse Edwards,1326,Bitci Baskonia,12,9,8,2,1,1,1,1,0,0,0,6,4,0,5,6,3,3,0,0,1,1,4,4,2,0,0,3,5,4,4,4,5,4,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.6666666666666666,0.4444444444444444,0.0,0.5555555555555556,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.2222222222222222,0.0,0.0,0.3333333333333333,0.5555555555555556,0.4444444444444444,1.2903225806451613,258
8,Liga ACB,51,2025-2026,15347,Isaiah Wong,1328,Dreamland Gran Canaria,32,255,214,48,1,51,13,4,50,11,12,114,33,4,160,124,131,42,6,114,31,35,27,176,67,16,3,45,141,87,134,137,68,61,0.18823529411764706,0.00392156862745098,0.2,0.050980392156862744,0.01568627450980392,0.19607843137254902,0.043137254901960784,0.047058823529411764,0.4470588235294118,0.12941176470588237,0.01568627450980392,0.6274509803921569,0.48627450980392156,0.5137254901960784,0.16470588235294117,0.023529411764705882,0.4470588235294118,0.12156862745098039,0.13725490196078433,0.10588235294117647,0.6901960784313725,0.2627450980392157,0.06274509803921569,0.011764705882352941,0.17647058823529413,0.5529411764705883,0.3411764705882353,1.1682242990654206,1351
8,Liga ACB,51,2025-2026,15362,Michael Forrest,1334,CB UCAM Murcia,31,184,138,29,4,54,6,1,24,13,11,75,16,4,113,101,83,44,5,78,14,16,27,111,42,10,7,25,90,55,84,82,31,26,0.15760869565217392,0.021739130434782608,0.29347826086956524,0.03260869565217391,0.005434782608695652,0.13043478260869565,0.07065217391304347,0.059782608695652176,0.4076086956521739,0.08695652173913043,0.021739130434782608,0.6141304347826086,0.5489130434782609,0.45108695652173914,0.2391304347826087,0.02717391304347826,0.42391304347826086,0.07608695652173914,0.08695652173913043,0.14673913043478262,0.6032608695652174,0.22826086956521738,0.05434782608695652,0.03804347826086957,0.1358695652173913,0.4891304347826087,0.29891304347826086,1.1501463822668339,1044
8,Liga ACB,51,2025-2026,15367,Markquis Nowell,1326,Bitci Baskonia,6,32,24,9,0,14,3,0,0,8,2,5,2,1,13,22,10,2,0,21,1,7,1,18,3,5,0,2,18,7,6,5,2,0,0.28125,0.0,0.4375,0.09375,0.0,0.0,0.25,0.0625,0.15625,0.0625,0.03125,0.40625,0.6875,0.3125,0.0625,0.0,0.65625,0.03125,0.21875,0.03125,0.5625,0.09375,0.15625,0.0,0.0625,0.5625,0.21875,1.0204081632653061,213
